local_code,text,table_name,parent_varname,local_code_system,code,display,code_system,comment
snomedct:272455005,Inferosuperior projection,EnumSpatialQualifiers,,,272455005,Inferosuperior projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272456006,Apical projection,EnumSpatialQualifiers,,,272456006,Apical projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272457002,Vertical projection,EnumSpatialQualifiers,,,272457002,Vertical projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272458007,Prone projection,EnumSpatialQualifiers,,,272458007,Prone projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272459004,Supine projection,EnumSpatialQualifiers,,,272459004,Supine projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272460009,Anterior projection,EnumSpatialQualifiers,,,272460009,Anterior projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272461008,Right posterior projection,EnumSpatialQualifiers,,,272461008,Right posterior projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272462001,Left posterior projection,EnumSpatialQualifiers,,,272462001,Left posterior projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272464000,Perorbital projection,EnumSpatialQualifiers,,,272464000,Perorbital projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272465004,Temporomandibular joint projection,EnumSpatialQualifiers,,,272465004,Temporomandibular joint projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272466003,Optic foramen projection,EnumSpatialQualifiers,,,272466003,Optic foramen projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272467007,Lateral facial skeleton projection,EnumSpatialQualifiers,,,272467007,Lateral facial skeleton projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272468002,Ear projection,EnumSpatialQualifiers,,,272468002,Ear projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:272469005,Mid face projection,EnumSpatialQualifiers,,,272469005,Mid face projection,http://snomed.info/id/,LinkML gen-harmony
